\Longleftarrow	lLongleftarrow
\mathscr{}	lmathscr
\cap	lcap
\dddot{}	ldddot
\verb!!	lverb
\frak	lfrak
\complement	lcomplement
\lVert	llVert
\underset{}{}	lunderset
\beta	lbeta
\Bbb{}	lBbb
\underrightarrow{}	lunderrightarrow
\xi	lxi
\Uparrow	lUparrow
\varepsilon	lvarepsilon
\infty	linfty
\epsilon	lepsilon
\cancel{}	lcancel
\mid	lmid
\vdots	lvdots
\left\{\right\}	lleftright
\left/\right\backslash	lleftrightbackslash
\begin{Vmatrix}\end{Vmatrix}	lbeginVmatrixendVmatrix
\left\uparrow\right\downarrow	lleftuparrowrightdownarrow
\mit	lmit
\bf	lbf
\LARGE	lLARGE
\delta	ldelta
\quad	lquad
\rm{}	lrm
\sin	lsin
\supseteq	lsupseteq
\gamma	lgamma
\rfloor	lrfloor
\begin{array}\end{array}	lbeginarrayendarray
\ldots	lldots
\lceil	llceil
\left|\right|	lleftright
\begin{Bmatrix}\end{Bmatrix}	lbeginBmatrixendBmatrix
\left\lceil\right\rceil	lleftlceilrightrceil
\not	lnot
\check{}	lcheck
\mu	lmu
\enclose{}[]{}	lenclose
\Psi	lPsi
\cot	lcot
\iint	liint
\it	lit
\langle	llangle
\ast	last
\large	llarge
\leftarrow	lleftarrow
\otimes	lotimes
\tt	ltt
\begin{pmatrix}\end{pmatrix}	lbeginpmatrixendpmatrix
\coprod	lcoprod
\tiny	ltiny
\Phi	lPhi
\Gamma	lGamma
\cos	lcos
\left\vert\right\vert	lleftvertrightvert
\nu	lnu
\varphi	lvarphi
\sum	lsum
\geq	lgeq
\because	lbecause
\left\Uparrow\right\Downarrow	lleftUparrowrightDownarrow
\emptyset	lemptyset
\neq	lneq
\tan	ltan
\left\lfloor\right\rfloor	lleftlfloorrightrfloor
\sec	lsec
\begin{smallmatrix}\end{smallmatrix}	lbeginsmallmatrixendsmallmatrix
\times	ltimes
\small	lsmall
\omega	lomega
\cfrac{}{}	lcfrac
\breve{}	lbreve
\equiv	lequiv
\approx	lapprox
\mapsto	lmapsto
\bot	lbot
\lim	llim
\begin{align}\end{align}	lbeginalignendalign
\tau	ltau
\theta	ltheta
\huge	lhuge
\dot{}	ldot
\lambda	llambda
\tag{}	ltag
\qquad	lqquad
\Theta	lTheta
\iff	liff
\Leftrightarrow	lLeftrightarrow
\mathrm{}	lmathrm
\psi	lpsi
\prime	lprime
\div	ldiv
\alpha	lalpha
\forall	lforall
\lfloor	llfloor
\rVert	lrVert
\Sigma	lSigma
\bullet	lbullet
\Leftarrow	lLeftarrow
\lbrace	llbrace
\label{}	llabel
\begin{bmatrix}\end{bmatrix}	lbeginbmatrixendbmatrix
\zeta	lzeta
\Pi	lPi
\hat{}	lhat
\bigcirc	lbigcirc
\chi	lchi
\mathbb{}	lmathbb
\partial	lpartial
\begin{CD}\end{CD}	lbeginCDendCD
\color{}{}	lcolor
\vdash	lvdash
\grave{}	lgrave
\sqrt[]{}	lsqrt
\to	lto
\longleftarrow	llongleftarrow
\rvert	lrvert
\sigma	lsigma
\longmapsto	llongmapsto
\Upsilon	lUpsilon
\ln	lln
\pi	lpi
\rceil	lrceil
\normalsize	lnormalsize
\eqref{}	leqref
\prod	lprod
\left\langle\right\rangle	lleftlanglerightrangle
\nmid	lnmid
\oint	loint
\cancelto{}{}	lcancelto
\verb||	lverb
\scr	lscr
\Downarrow	lDownarrow
\begin{vmatrix}\end{vmatrix}	lbeginvmatrixendvmatrix
\cdot	lcdot
\cup	lcup
\neg	lneg
\odot	lodot
\phi	lphi
\mathcal{}	lmathcal
\tilde{}	ltilde
\widehat{}	lwidehat
\csc	lcsc
\Longleftrightarrow	lLongleftrightarrow
\leftrightarrow	lleftrightarrow
\backslash	lbackslash
\lvert	llvert
\widetilde{}	lwidetilde
\underbrace{}	lunderbrace
\varrho	lvarrho
\wedge	lwedge
\rangle	lrangle
\backsim	lbacksim
\eta	leta
\top	ltop
\Huge	lHuge
\Longrightarrow	lLongrightarrow
\xcancel{}	lxcancel
\sf	lsf
\left(\right)	lleftright
\bar{}	lbar
\hline	lhline
\vee	lvee
\log	llog
\rbrace	lrbrace
\cal	lcal
\vec{}	lvec
\over	lover
\left\|\right\|	lleftright
\underleftrightarrow{}	lunderleftrightarrow
\bigotimes	lbigotimes
\upsilon	lupsilon
\ddots	lddots
\operatorname{}	loperatorname
\bbox{}	lbbox
\therefore	ltherefore
\uparrow	luparrow
\uplus	luplus
\iiint	liiint
\exists	lexists
\bigcup	lbigcup
\left[\right]	lleftright
\lg	llg
\pm	lpm
\Lambda	lLambda
\Delta	lDelta
\acute{}	lacute
\int	lint
\sideset{}{}Symbol	lsidesetSymbol
\text{}	ltext
\Xi	lXi
\varsigma	lvarsigma
\nabla	lnabla
\longrightarrow	llongrightarrow
\Tiny	lTiny
\oplus	loplus
\boldsymbol{}	lboldsymbol
\subseteq	lsubseteq
\fbox{}	lfbox
\bigcap	lbigcap
\iota	liota
\ddot{}	lddot
\require{}	lrequire
\downarrow	ldownarrow
\underleftarrow{}	lunderleftarrow
\Large	lLarge
\longleftrightarrow	llongleftrightarrow
\angle	langle
\implies	limplies
\kappa	lkappa
\impliedby	limpliedby
\Rightarrow	lRightarrow
\cong	lcong
\underline{}	lunderline
\frac{}{}	lfrac
\in	lin
\rightarrow	lrightarrow
\circ	lcirc
\supset	lsupset
\subset	lsubset
\vartheta	lvartheta
\rho	lrho
\Omega	lOmega
\leq	lleq
\enclose{}{}	lenclose
